K'Sante,50.15%,"6,491"
Jax,53.65%,"5,517"
Darius,48.60%,"3,833"
Aatrox,49.93%,"3,443"
Camille,44.40%,"3,018"
Yone,52.35%,"2,728"
Renekton,53.29%,"2,554"
Malphite,46.53%,"1,919"
Fiora,46.61%,"1,856"
Nasus,52.70%,"1,797"
Sett,50.58%,"1,734"
Riven,48.69%,"1,723"
Ornn,48.12%,"1,544"
Gangplank,55.79%,"1,502"
Kayle,45.41%,"1,482"
Tahm Kench,44.53%,"1,444"
Mordekaiser,46.45%,"1,393"
Illaoi,51.06%,"1,373"
Gnar,50.55%,"1,276"
Jayce,53.09%,"1,230"
Sion,48.73%,"1,221"
Volibear,51.35%,"1,188"
Irelia,51.02%,"1,123"
Tryndamere,47.58%,"1,095"
Gwen,51.83%,"1,063"
Rumble,50.71%,"1,057"
Akali,53.63%,910
Pantheon,50.33%,906
Olaf,47.67%,860
Dr. Mundo,53.39%,796
Teemo,47.81%,753
Shen,47.38%,743
Cho'Gath,47.15%,738
Singed,47.08%,737
Poppy,52.10%,737
Urgot,49.34%,685
Yorick,50.25%,599
Quinn,47.66%,577
Vayne,47.96%,565
Kled,51.69%,561
Yasuo,52.46%,549
Kennen,53.70%,473
Warwick,54.24%,389
Sylas,52.32%,388
Gragas,51.75%,342
Udyr,43.28%,335
Rengar,48.31%,325
Vladimir,43.45%,313
Akshan,50.80%,311
Trundle,51.19%,295
Maokai,50.71%,280
Naafiri,51.67%,269
Zed,51.71%,263
Wukong,49.43%,261
Zac,44.40%,259
Swain,48.43%,223
Briar,56.88%,218
