Jax,50.31%,962
K'Sante,45.92%,773
Aatrox,51.62%,680
Darius,48.64%,590
Garen,46.30%,473
Yone,51.49%,470
Jayce,48.58%,457
Malphite,45.15%,443
Renekton,52.31%,432
Fiora,47.85%,395
Nasus,44.63%,363
Irelia,49.39%,328
Rumble,48.03%,304
Camille,49.28%,276
Gnar,48.73%,275
Riven,51.16%,258
Gangplank,49.80%,245
Sett,52.77%,235
Akali,56.96%,230
Ornn,49.06%,212
Sion,49.48%,192
Illaoi,47.62%,189
Teemo,52.49%,181
Pantheon,48.54%,171
Olaf,42.86%,168
Dr. Mundo,48.45%,161
Tahm Kench,42.86%,161
Kayle,46.25%,160
Mordekaiser,55.06%,158
Gwen,46.15%,156
Tryndamere,47.02%,151
Sylas,47.92%,144
Poppy,48.15%,135
Volibear,51.49%,134
Yasuo,55.22%,134
Quinn,49.62%,133
Urgot,54.84%,124
Yorick,40.87%,115
Cho'Gath,45.63%,103
Shen,37.86%,103
Vayne,45.83%,96
Kled,56.84%,95
Singed,50.62%,81
Vladimir,50.68%,73
Maokai,56.52%,69
Akshan,46.15%,65
Rengar,44.26%,61
Warwick,47.46%,59
Zed,49.09%,55
Gragas,52.94%,51
Udyr,60.00%,45
Wukong,57.50%,40
Swain,38.46%,39
Zac,48.65%,37
