Jax,52.97%,"2,932"
Jayce,56.46%,"2,299"
K'Sante,46.90%,"2,162"
Aatrox,51.66%,"2,104"
Yone,53.06%,"1,943"
Garen,53.54%,"1,920"
Darius,50.97%,"1,450"
Sylas,44.36%,"1,445"
Renekton,52.74%,"1,441"
Fiora,53.61%,"1,412"
Riven,53.51%,"1,069"
Mordekaiser,46.26%,"1,016"
Tryndamere,53.93%,916
Gnar,55.30%,897
Ornn,43.05%,892
Sett,55.49%,892
Gangplank,51.97%,889
Camille,50.51%,885
Sion,49.94%,849
Nasus,47.91%,837
Irelia,53.09%,808
Rumble,51.61%,746
Gwen,48.37%,736
Illaoi,49.64%,695
Teemo,50.81%,681
Pantheon,54.63%,659
Dr. Mundo,40.97%,620
Kayle,55.34%,609
Tahm Kench,46.38%,567
Akali,51.23%,488
Cho'Gath,43.84%,463
Quinn,52.18%,458
Volibear,48.66%,448
Kennen,55.18%,444
Yasuo,57.41%,432
Olaf,47.78%,427
Shen,41.00%,400
Yorick,57.22%,374
Poppy,51.11%,360
Akshan,55.03%,338
Urgot,51.82%,330
Vayne,56.07%,321
Kled,46.07%,280
Rengar,56.36%,275
Singed,43.87%,253
Zed,59.48%,232
Maokai,42.86%,210
Gragas,56.46%,209
Vladimir,44.17%,206
Warwick,52.85%,193
Zac,45.71%,175
Trundle,58.68%,167
Naafiri,53.75%,160
Briar,59.44%,143
Udyr,45.86%,133
Wukong,50.76%,132
Swain,43.75%,128
