K'Sante,52.85%,"2,032"
Jax,51.24%,964
Aatrox,50.32%,950
Garen,52.20%,862
Darius,50.98%,767
Yone,52.09%,764
Renekton,53.01%,715
Mordekaiser,56.61%,673
Gangplank,55.42%,563
Fiora,47.53%,547
Ornn,52.09%,526
Jayce,54.35%,471
Nasus,49.68%,469
Camille,49.89%,451
Malphite,52.34%,428
Sett,51.12%,403
Rumble,54.45%,393
Gnar,51.83%,382
Tahm Kench,50.14%,355
Illaoi,48.87%,354
Riven,49.54%,329
Volibear,50.82%,305
Gwen,50.17%,303
Tryndamere,43.33%,300
Teemo,53.63%,289
Irelia,52.65%,283
Sion,52.13%,282
Poppy,53.96%,278
Urgot,50.42%,236
Pantheon,47.41%,232
Akali,51.10%,227
Kayle,47.56%,225
Shen,55.61%,223
Dr. Mundo,58.37%,209
Singed,46.51%,172
Yorick,53.53%,170
Kled,49.11%,169
Cho'Gath,48.50%,167
Kennen,57.49%,167
Trundle,46.58%,146
Vayne,45.99%,137
Warwick,56.72%,134
Quinn,55.22%,134
Yasuo,58.21%,134
Maokai,59.06%,127
Sylas,61.47%,109
Gragas,52.00%,100
Rengar,47.78%,90
Udyr,54.55%,88
Vladimir,51.85%,81
Zac,53.09%,81
Akshan,40.00%,80
Naafiri,48.68%,76
Zed,54.29%,70
Briar,59.42%,69
Wukong,45.16%,62
Swain,47.54%,61
