K'Sante,51.21%,"1,285"
Jax,51.06%,852
Garen,52.56%,742
Aatrox,49.14%,698
Darius,46.31%,637
Camille,55.50%,591
Yone,52.20%,567
Renekton,50.40%,506
Fiora,49.53%,422
Malphite,59.00%,400
Mordekaiser,50.66%,381
Gangplank,46.52%,374
Sett,49.59%,369
Gwen,47.80%,341
Illaoi,53.31%,332
Ornn,52.60%,327
Riven,48.15%,324
Sion,52.10%,309
Nasus,50.17%,297
Tahm Kench,52.40%,292
Volibear,50.00%,276
Rumble,53.48%,273
Jayce,51.65%,273
Kayle,45.13%,226
Olaf,44.39%,223
Irelia,53.42%,219
Akali,54.21%,214
Gnar,52.36%,212
Tryndamere,52.58%,194
Pantheon,49.48%,194
Dr. Mundo,50.87%,173
Poppy,52.05%,171
Yorick,60.12%,163
Cho'Gath,50.00%,160
Teemo,49.33%,150
Urgot,44.97%,149
Kled,57.05%,149
Sylas,46.31%,149
Singed,49.66%,147
Yasuo,58.59%,128
Vayne,43.48%,115
Kennen,62.14%,103
Quinn,52.81%,89
Gragas,65.12%,86
Trundle,62.35%,85
Warwick,56.96%,79
Zac,47.95%,73
Rengar,40.85%,71
Maokai,46.27%,67
Udyr,39.39%,66
Zed,52.31%,65
Akshan,67.19%,64
Vladimir,55.56%,63
Naafiri,47.54%,61
Swain,39.58%,48
Briar,53.49%,43
Wukong,43.90%,41
