K'Sante,49.13%,924
Aatrox,49.93%,725
Garen,52.89%,658
Malphite,48.26%,603
Darius,52.55%,588
Jax,52.77%,559
Yone,53.48%,445
Renekton,54.48%,413
Jayce,47.65%,361
Sion,50.00%,358
Nasus,49.42%,344
Fiora,48.39%,341
Ornn,41.12%,338
Rumble,49.32%,296
Camille,48.11%,291
Gangplank,54.01%,287
Mordekaiser,46.48%,284
Olaf,48.05%,256
Sett,48.21%,251
Tahm Kench,45.20%,250
Irelia,46.96%,247
Cho'Gath,45.93%,246
Riven,49.59%,242
Akali,47.26%,237
Illaoi,50.00%,236
Gnar,50.46%,216
Tryndamere,50.26%,193
Volibear,53.72%,188
Dr. Mundo,59.44%,180
Pantheon,45.81%,179
Kayle,49.72%,177
Yorick,46.47%,170
Gwen,54.60%,163
Quinn,56.52%,161
Kennen,48.10%,158
Yasuo,49.35%,154
Vayne,60.78%,153
Singed,56.58%,152
Vladimir,48.94%,141
Shen,48.84%,129
Urgot,55.12%,127
Poppy,55.46%,119
Kled,47.00%,100
Gragas,55.95%,84
Naafiri,45.68%,81
Warwick,50.00%,72
Maokai,48.57%,70
Rengar,60.61%,66
Sylas,45.45%,66
Akshan,45.31%,64
Zed,63.49%,63
Udyr,60.00%,50
Swain,50.00%,42
Wukong,52.38%,42
Zac,40.48%,42
Trundle,54.05%,37
