K'Sante,46.13%,826
Yone,48.16%,735
Aatrox,46.02%,691
Renekton,46.08%,651
Jax,44.67%,535
Garen,48.31%,472
Darius,45.77%,426
Malphite,42.41%,382
Jayce,47.09%,361
Fiora,50.65%,306
Gangplank,51.61%,279
Camille,42.70%,267
Irelia,52.53%,257
Gnar,54.27%,234
Illaoi,52.61%,230
Nasus,39.47%,228
Riven,50.67%,223
Sett,45.50%,222
Rumble,54.17%,216
Akali,48.36%,213
Ornn,39.51%,205
Sion,47.54%,183
Kayle,41.99%,181
Pantheon,50.29%,171
Gwen,49.40%,166
Teemo,50.33%,153
Volibear,45.03%,151
Mordekaiser,43.54%,147
Tryndamere,50.70%,142
Tahm Kench,46.72%,137
Dr. Mundo,41.79%,134
Sylas,53.97%,126
Poppy,41.13%,124
Quinn,50.00%,124
Kennen,44.83%,116
Olaf,43.36%,113
Singed,42.99%,107
Shen,42.99%,107
Yorick,51.43%,105
Cho'Gath,38.46%,104
Urgot,46.39%,97
Vayne,57.89%,95
Kled,44.71%,85
Vladimir,51.47%,68
Gragas,57.14%,63
Zed,52.54%,59
Akshan,43.86%,57
Rengar,42.59%,54
Maokai,36.00%,50
Udyr,33.33%,45
Warwick,54.76%,42
Zac,57.14%,42
Swain,46.34%,41
Naafiri,45.00%,40
Trundle,50.00%,38
